,Open,High,Low,Close,Date,Volume
0,0.005874,0.005874,0.004486,0.004486,2013-08-06 18:00:00,0.0
1,0.004196,0.004372,0.004196,0.004372,2013-08-10 18:00:00,0.0
2,0.004397,0.004397,0.003328,0.003328,2013-08-14 18:00:00,0.0
3,0.002901,0.006198,0.002901,0.00556,2013-08-18 18:00:00,0.0
4,0.006061,0.006338,0.005135,0.005135,2013-08-22 18:00:00,0.0
5,0.005528,0.006466,0.005528,0.00642,2013-08-26 18:00:00,0.0
6,0.006349,0.006349,0.00582,0.005863,2013-08-30 18:00:00,0.0
7,0.005801,0.005801,0.005627,0.005673,2013-09-02 18:00:00,0.0
8,0.005577,0.006188,0.005577,0.006188,2013-09-06 18:00:00,0.0
9,0.006142,0.006189,0.005854,0.006081,2013-09-10 18:00:00,0.0
10,0.006426,0.006589,0.006341,0.006429,2013-09-14 18:00:00,0.0
11,0.007043,0.011122,0.007043,0.011122,2013-09-18 18:00:00,0.0
12,0.010114,0.010401,0.009745,0.010019,2013-09-22 18:00:00,0.0
13,0.010433,0.011676,0.010433,0.011676,2013-09-26 18:00:00,
14,0.014347,0.014347,0.011041,0.011041,2013-09-29 18:00:00,0.0
15,0.011937,0.011937,0.008401,0.008401,2013-10-02 18:00:00,0.0
16,0.009467,0.010375,0.00928,0.009331,2013-10-06 18:00:00,0.0
17,0.009719,0.010089,0.009067,0.009067,2013-10-10 18:00:00,0.0
18,0.008916,0.008916,0.007987,0.007987,2013-10-14 18:00:00,0.0
19,0.007585,0.007767,0.007293,0.007293,2013-10-18 18:00:00,0.0
20,0.00753,0.00753,0.006742,0.00743,2013-10-22 18:00:00,0.0
21,0.008728,0.008728,0.006307,0.006645,2013-10-26 18:00:00,0.0
22,0.006328,0.006328,0.005935,0.005997,2013-10-30 18:00:00,0.0
23,0.006183,0.007153,0.006183,0.007153,2013-11-02 18:00:00,0.0
24,0.00719,0.008893,0.006994,0.008893,2013-11-06 18:00:00,0.0
25,0.01056,0.01056,0.008375,0.008375,2013-11-10 18:00:00,0.0
26,0.008926,0.01051,0.008926,0.00963,2013-11-14 18:00:00,0.0
27,0.009982,0.010964,0.008294,0.008294,2013-11-18 18:00:00,0.0
28,0.007286,0.009958,0.007286,0.009958,2013-11-22 18:00:00,0.0
29,0.013479,0.023488,0.013479,0.023488,2013-11-26 18:00:00,0.0
30,0.029764,0.035777,0.029764,0.035777,2013-11-29 18:00:00,0.0
31,0.052731,0.057516,0.049197,0.049197,2013-12-02 18:00:00,0.0
32,0.054397,0.054397,0.034676,0.034676,2013-12-06 18:00:00,0.0
33,0.034439,0.043748,0.034439,0.038061,2013-12-10 18:00:00,0.0
34,0.034566,0.034566,0.029061,0.029061,2013-12-14 18:00:00,0.0
35,0.023415,0.023415,0.016846,0.020783,2013-12-18 18:00:00,0.0
36,0.021427,0.023161,0.021427,0.023161,2013-12-22 18:00:00,0.0
37,0.022534,0.026443,0.021963,0.026443,2013-12-26 18:00:00,133863.0
38,0.027335,0.027668,0.027262,0.027438,2013-12-30 18:00:00,63399.0
39,0.027043,0.028997,0.027043,0.027694,2014-01-02 18:00:00,89287.0
40,0.028087,0.028087,0.023774,0.023774,2014-01-06 18:00:00,75928.0
41,0.023165,0.023942,0.022562,0.023942,2014-01-10 18:00:00,69314.0
42,0.022199,0.022255,0.021214,0.022255,2014-01-14 18:00:00,25227.0
43,0.021066,0.021344,0.020438,0.021344,2014-01-18 18:00:00,17951.0
44,0.020766,0.020766,0.019116,0.019116,2014-01-22 18:00:00,81644.0
45,0.018285,0.020413,0.018285,0.020413,2014-01-26 18:00:00,66064.0
46,0.020954,0.020954,0.020337,0.020337,2014-01-30 18:00:00,82570.0
47,0.020633,0.021464,0.020633,0.021464,2014-02-02 18:00:00,92102.0
48,0.021489,0.021489,0.018348,0.018348,2014-02-06 18:00:00,94078.0
49,0.018449,0.018449,0.017326,0.018246,2014-02-10 18:00:00,135739.0
50,0.017247,0.017247,0.015767,0.015913,2014-02-14 18:00:00,158770.0
51,0.016189,0.016189,0.015217,0.015217,2014-02-18 18:00:00,191498.0
52,0.015357,0.015629,0.014581,0.015629,2014-02-22 18:00:00,88774.0
53,0.014964,0.014964,0.011343,0.013844,2014-02-26 18:00:00,151039.0
54,0.014129,0.014129,0.013683,0.013915,2014-02-27 18:00:00,29209.0
55,0.015657,0.016014,0.015258,0.015258,2014-03-06 18:00:00,165546.0
56,0.014728,0.014745,0.014489,0.014745,2014-03-10 18:00:00,107847.0
57,0.01437,0.01437,0.01426,0.014367,2014-03-14 18:00:00,65615.0
58,0.014368,0.014368,0.013694,0.014008,2014-03-18 18:00:00,109271.0
59,0.013699,0.013699,0.012749,0.012749,2014-03-22 18:00:00,179944.0
60,0.01253,0.012732,0.011015,0.011015,2014-03-26 18:00:00,229366.0
61,0.010733,0.010733,0.009057,0.009057,2014-03-30 18:00:00,203590.0
62,0.008703,0.009722,0.007761,0.007761,2014-04-02 18:00:00,172873.0
63,0.007743,0.008316,0.007743,0.008222,2014-04-06 18:00:00,63143.0
64,0.008325,0.008325,0.005791,0.006045,2014-04-10 18:00:00,345888.0
65,0.006058,0.006933,0.006058,0.006933,2014-04-14 18:00:00,274616.0
66,0.006699,0.006806,0.006284,0.006806,2014-04-18 18:00:00,207541.0
67,0.006271,0.006271,0.006061,0.006094,2014-04-22 18:00:00,16198.194905550225
68,0.005976,0.005976,0.004765,0.004765,2014-04-26 18:00:00,23151.139108021587
69,0.005081,0.005438,0.005081,0.005438,2014-04-29 18:00:00,17808.351116509773
70,0.005306,0.005306,0.005038,0.005156,2014-05-02 18:00:00,3389.4977991215756
71,0.004956,0.00667,0.004956,0.006607,2014-05-06 18:00:00,36960.91461168966
72,0.006687,0.006687,0.005894,0.005894,2014-05-10 18:00:00,7294.355063269134
73,0.005942,0.00733,0.005942,0.006957,2014-05-14 18:00:00,30870.67167634936
74,0.006744,0.006744,0.00573,0.006121,2014-05-18 18:00:00,9404.269972552753
75,0.006487,0.006696,0.002686,0.003341,2014-05-22 18:00:00,33235.81583231137
76,0.003531,0.004522,0.003531,0.004522,2014-05-26 18:00:00,13600.455453295792
77,0.004538,0.004538,0.003895,0.004145,2014-05-30 18:00:00,6895.486898817265
78,0.004475,0.004475,0.003866,0.004451,2014-06-02 18:00:00,10743.127576502931
79,0.004136,0.004218,0.003969,0.003969,2014-06-06 18:00:00,4379.706387667695
80,0.004003,0.004784,0.004003,0.004498,2014-06-10 18:00:00,11143.062664952553
81,0.003953,0.004058,0.003953,0.004055,2014-06-14 18:00:00,9090.954786210405
82,0.004231,0.004268,0.004154,0.004154,2014-06-18 18:00:00,9905.498213947021
83,0.004189,0.004189,0.004076,0.004076,2014-06-22 18:00:00,104818.0
84,0.00407,0.00407,0.00394,0.003993,2014-06-26 18:00:00,17794.0
85,0.003926,0.004028,0.003779,0.003779,2014-06-29 18:00:00,20025.999999999996
86,0.00366,0.00366,0.003357,0.003357,2014-07-02 18:00:00,142354.99999999997
87,0.003243,0.003243,0.002807,0.003083,2014-07-06 18:00:00,198315.0
88,0.003398,0.003419,0.003398,0.003419,2014-07-10 18:00:00,216813.99999999997
89,0.003419,0.003419,0.003419,0.003419,2014-07-14 18:00:00,216814.0
90,0.003419,0.00636,0.003419,0.005259,2014-07-18 18:00:00,519611.00000000006
91,0.005376,0.006148,0.005361,0.006148,2014-07-22 18:00:00,331286.0
