,Open,High,Low,Close,Date,Volume
0,0.375349,0.375893,0.374686,0.375893,2023-03-14 20:30:00,
1,0.374985,0.376735,0.374985,0.376735,2023-03-14 21:00:00,
2,0.376038,0.376298,0.375422,0.375422,2023-03-14 21:30:00,
3,0.374981,0.375631,0.374981,0.375484,2023-03-14 22:00:00,
4,0.375834,0.376947,0.375834,0.376947,2023-03-14 22:30:00,
5,0.37703,0.377558,0.376592,0.376811,2023-03-14 23:00:00,
6,0.376753,0.377459,0.376753,0.376995,2023-03-14 23:30:00,
7,0.377121,0.377121,0.375014,0.375014,2023-03-15 00:00:00,
8,0.37499,0.375416,0.374443,0.374517,2023-03-15 00:30:00,
9,0.374943,0.37583,0.374943,0.375191,2023-03-15 01:00:00,
10,0.375151,0.375151,0.373337,0.37407,2023-03-15 01:30:00,
11,0.374307,0.375285,0.374307,0.375285,2023-03-15 02:00:00,
12,0.375652,0.375882,0.374997,0.374997,2023-03-15 02:30:00,
13,0.374329,0.374541,0.374198,0.3742,2023-03-15 03:00:00,
14,0.374345,0.374664,0.373129,0.373129,2023-03-15 03:30:00,
15,0.372431,0.373013,0.370294,0.372107,2023-03-15 04:00:00,
16,0.371536,0.372434,0.3713,0.371552,2023-03-15 04:30:00,
17,0.370833,0.371535,0.369789,0.370959,2023-03-15 05:00:00,
18,0.36972,0.36972,0.367506,0.367506,2023-03-15 05:30:00,
19,0.36707,0.368956,0.366858,0.368838,2023-03-15 06:00:00,
20,0.371255,0.371255,0.367889,0.368303,2023-03-15 06:30:00,
21,0.368907,0.37435,0.367427,0.369031,2023-03-15 07:00:00,
22,0.369686,0.371346,0.368357,0.371346,2023-03-15 07:30:00,
23,0.369213,0.369213,0.368106,0.368106,2023-03-15 08:00:00,
24,0.366761,0.367401,0.366186,0.367401,2023-03-15 08:30:00,
25,0.365547,0.365547,0.362837,0.364677,2023-03-15 09:00:00,
26,0.365199,0.366181,0.364596,0.364596,2023-03-15 09:30:00,
27,0.364028,0.364632,0.362608,0.362639,2023-03-15 10:00:00,
28,0.361991,0.363622,0.359703,0.362832,2023-03-15 10:30:00,
29,0.3636,0.3636,0.359828,0.361424,2023-03-15 11:00:00,
30,0.360553,0.362551,0.360506,0.362037,2023-03-15 11:30:00,
31,0.362284,0.363034,0.359785,0.359785,2023-03-15 12:00:00,
32,0.360818,0.361612,0.359937,0.361612,2023-03-15 12:30:00,
33,0.364418,0.364459,0.363522,0.364062,2023-03-15 13:00:00,
34,0.364878,0.365665,0.364637,0.365665,2023-03-15 13:30:00,
35,0.365731,0.365731,0.362742,0.362952,2023-03-15 14:00:00,
36,0.363331,0.363331,0.362309,0.363139,2023-03-15 14:30:00,
37,0.36358,0.364593,0.36358,0.364274,2023-03-15 15:00:00,
38,0.364068,0.364987,0.364068,0.364987,2023-03-15 15:30:00,
39,0.364685,0.36564,0.364673,0.364734,2023-03-15 16:00:00,
40,0.364823,0.366103,0.364823,0.36487,2023-03-15 16:30:00,
41,0.364124,0.364124,0.361596,0.363031,2023-03-15 17:00:00,
42,0.362438,0.363731,0.362438,0.363276,2023-03-15 17:30:00,
43,0.362697,0.363307,0.361978,0.36204,2023-03-15 18:00:00,
44,0.362095,0.363276,0.361972,0.363152,2023-03-15 18:30:00,
45,0.362269,0.362269,0.360772,0.361343,2023-03-15 19:00:00,
46,0.360447,0.361401,0.360118,0.361383,2023-03-15 19:30:00,
47,0.361159,0.362579,0.361159,0.362579,2023-03-15 20:00:00,
48,0.362443,0.363976,0.362443,0.363976,2023-03-15 20:30:00,
