,Open,High,Low,Close,Date,Volume
0,0.367262,0.367262,0.367262,0.367262,2023-02-13 22:00:00,
1,0.368092,0.3699,0.367563,0.369598,2023-02-14 02:00:00,
2,0.371495,0.371495,0.368368,0.370457,2023-02-14 06:00:00,
3,0.369127,0.37841,0.369127,0.37841,2023-02-14 10:00:00,
4,0.375262,0.378981,0.375133,0.378981,2023-02-14 14:00:00,
5,0.380328,0.380328,0.379399,0.37991,2023-02-14 18:00:00,
6,0.38295,0.38295,0.378118,0.378719,2023-02-14 22:00:00,
7,0.381102,0.382268,0.381102,0.382168,2023-02-15 02:00:00,
8,0.382755,0.385674,0.381745,0.385674,2023-02-15 06:00:00,
9,0.386985,0.38833,0.386985,0.387124,2023-02-15 10:00:00,
10,0.387106,0.38761,0.385705,0.38761,2023-02-15 14:00:00,
11,0.394053,0.40085,0.394053,0.40085,2023-02-15 18:00:00,
12,0.401225,0.401523,0.399429,0.401523,2023-02-15 22:00:00,
13,0.401302,0.401302,0.400456,0.400456,2023-02-16 02:00:00,
14,0.399347,0.400412,0.399347,0.400025,2023-02-16 06:00:00,
15,0.397589,0.398913,0.39556,0.396687,2023-02-16 10:00:00,
16,0.397368,0.400783,0.397368,0.400783,2023-02-16 14:00:00,
17,0.400178,0.400178,0.387875,0.387875,2023-02-16 18:00:00,
18,0.384534,0.38962,0.384534,0.38962,2023-02-16 22:00:00,
19,0.390402,0.390402,0.387278,0.387349,2023-02-17 02:00:00,
20,0.388027,0.388919,0.387185,0.387185,2023-02-17 06:00:00,
21,0.387468,0.391207,0.387468,0.391207,2023-02-17 10:00:00,
22,0.389014,0.392803,0.387418,0.392803,2023-02-17 14:00:00,
23,0.394978,0.399556,0.394311,0.394311,2023-02-17 18:00:00,
24,0.395758,0.395758,0.394161,0.3942,2023-02-17 22:00:00,
25,0.39468,0.39592,0.394379,0.39592,2023-02-18 02:00:00,
26,0.395238,0.395238,0.391534,0.391534,2023-02-18 06:00:00,
27,0.392931,0.395128,0.392931,0.395128,2023-02-18 10:00:00,
28,0.394882,0.395657,0.394269,0.394269,2023-02-18 14:00:00,
29,0.393776,0.394512,0.392456,0.394512,2023-02-18 18:00:00,
30,0.394393,0.395155,0.390159,0.392283,2023-02-18 22:00:00,
31,0.391406,0.392535,0.391406,0.392535,2023-02-19 02:00:00,
32,0.391705,0.392009,0.39158,0.392009,2023-02-19 06:00:00,
33,0.393409,0.3949,0.393409,0.3949,2023-02-19 10:00:00,
34,0.396092,0.396092,0.389781,0.389781,2023-02-19 14:00:00,
35,0.389006,0.389006,0.387397,0.387397,2023-02-19 18:00:00,
36,0.385606,0.387217,0.385606,0.387128,2023-02-19 22:00:00,
37,0.387887,0.391826,0.387887,0.390958,2023-02-20 02:00:00,
38,0.390472,0.393859,0.38927,0.393859,2023-02-20 06:00:00,
39,0.393458,0.405752,0.392879,0.405752,2023-02-20 10:00:00,
40,0.402152,0.405351,0.399341,0.399341,2023-02-20 14:00:00,
41,0.401506,0.401506,0.396936,0.396936,2023-02-20 18:00:00,
42,0.397339,0.397339,0.395062,0.396681,2023-02-20 22:00:00,
43,0.394873,0.399431,0.394873,0.399431,2023-02-21 02:00:00,
44,0.399048,0.399048,0.391236,0.391236,2023-02-21 06:00:00,
